 128  128    499712    177150    131383     86478     39799     38234     35875     32585     28864         0 
 256  256   1280000    448781    331869    220227     98564     94762     89287     81132     71846         0 
 384  384   1549611    538215    398901    261731    118688    114148    107260     97582     86056         0 
 512  512   1683968    588729    435622    285509    129277    124380    116987    106421     94018         0 
 640  640   1767592    618070    454351    298864    132832    127893    120441    109288     96512         0 
 768  768   1824228    634435    466769    306888    138416    133088    125199    113937    100745         0 
 896  896   1869000    647566    481039    319442    146218    140646    132225    120364    106636         0 
1024 1024   1889408    662580    492920    326533    147611    142080    133423    121146    107211         0 
1152 1152   1928718    676676    503771    338141    152910    147230    138479    125867    111291         0 
1280 1280   1932658    684771    508464    338667    155183    149350    140614    127886    113033         0 
1408 1408   1954388    686389    509896    336002    154474    148613    139736    127182    112487         0 
1536 1536   1962225    705990    522032    343806    157214    151463    142478    129687    114739         0 
1664 1664   1990429    715055    531949    352092    161994    155909    146736    133651    118329         0 
1792 1792   1987818    712893    530672    350880    160396    154311    144982    132010    116627         0 
1920 1920   2018313    722433    536852    353436    160901    154946    145617    132502    116889         0 
2048 2048   1992992    707391    524814    345816    158772    152840    143666    130840    115641         0 
2176 2176   2045225    715821    529279    347713    156814    150865    141731    128916    113926         0 
2304 2304   2061306    726940    539753    357083    160697    154616    145419    132289    116849         0 
2432 2432   2036627    725296    540096    357061    162658    156412    147171    133833    118158         0 
2560 2560   2064909    735511    544293    357313    163768    157516    148274    135137    119661         0 
2688 2688   2063799    731052    538458    354212    161284    154948    145900    132911    117660         0 
2816 2816   2030225    715274    526779    346957    158154    151895    142830    130149    115215         0 
2944 2944   2091856    736646    540978    357631    163780    157380    147952    134721    119437         0 
3072 3072   2138535    758797    560794    368199    167109    160518    150949    137389    121416         0 
3200 3200   2168726    772297    571998    376025    170618    164093    154457    140544    124208         0 
3328 3328   2180893    778473    576118    377411    170250    163793    154043    140160    123785         0 
3456 3456   2173500    784293    581065    382235    173063    166639    156689    142450    125760         0 
3584 3584   2145011    766539    566735    372141    169100    162659    152948    139181    122892         0 
3712 3712   2093890    739810    545449    359400    165204    158865    149370    135974    120318         0 
3840 3840   2242890    790094    582063    382809    172407    165828    156166    142110    125634         0 
3968 3968   2157309    769974    572387    375778    170036    163669    153976    140051    123654         0 
4096 4096   2045000    723369    536634    354101    160204    154072    145029    131921    116393         0 
4224 4224   2176488    778624    576013    376718    172796    166065    156241    142259    125560         0 
4352 4352   2312072    815964    603327    396408    181930    174835    164459    149773    132255         0 
4480 4480   2145283    758238    560294    369989    169117    162598    152937    139285    123060         0 
4608 4608   2271087    807438    596762    391090    176844    170020    159887    145498    128402         0 
4736 4736   2057550    737476    545304    356552    162111    155777    146722    133559    117735         0 
4864 4864   2171526    774902    572987    376690    172862    166149    156297    142225    125496         0 
4992 4992   2288574    810191    598249    392879    177892    170964    160751    146307    129105         0 
5120 5120   2408694    849450    627808    413171    187543    180197    169330    154123    135926         0 
5248 5248   2109905    748149    554273    364609    165237    158801    149351    135804    119956         0 
5376 5376   2215125    790417    584246    384016    176152    169308    159288    144983    128157         0 
5504 5504   2322905    827271    612710    404322    183105    176030    165612    150720    133111         0 
5632 5632   2433245    867423    642433    425081    191689    184326    173397    157721    139239         0 
5760 5760   2546145    908937    671643    442691    199561    191928    180582    164300    145105         0 
5888 5888   2129284    753024    554231    363044    164239    157890    148473    135149    119430         0 
6016 6016   2223700    791772    585934    387991    175849    169176    159232    144820    127987         0 
6144 6144   2320164    821528    607646    402601    181870    174998    164777    149878    132380         0 
6272 6272   2418676    852284    629771    416184    187762    180585    169915    154534    136528         0 
6400 6400   2519236    890483    658103    437942    196382    188932    177874    161780    142822         0 
6528 6528   2621844    924164    682184    450496    204264    196462    184857    168236    148595         0 
6656 6656   2726500    958982    707755    466557    209904    201888    189907    172797    152666         0 
6784 6784   2124903    752214    558546    370913    167783    161452    151863    138159    121950         0 
6912 6912   2206467    776610    575328    379343    171728    165159    155149    141076    124444         0 
7040 7040   2289567    802451    594163    392263    175834    169142    158951    144502    127301         0 
7168 7168   2374203    834774    618580    409277    183354    176403    165839    150759    132854         0 
7296 7296   2460375    869715    646636    430145    194796    187536    176346    160414    141477         0 
7424 7424   2548083    895953    663627    436403    197602    190047    178486    162350    143252         0 
7552 7552   2637327    928959    689394    454102    205676    197794    185784    168937    149081         0 
7680 7680   2728107    958084    710395    469199    211051    203110    190890    173593    153113         0 
7808 7808   2820423    997216    741717    490455    224392    215994    203012    184677    163091         0 
7936 7936   2914275   1027979    764072    505644    230277    221688    208373    189545    167329         0 
8064 8064   3009663   1061871    789240    523855    237269    228456    214846    195385    172458         0 
8192 8192   2071058    719372    531102    351970    159578    153768    145230    131974    117410         0 
