 128  128    706560    180527    138121    107137     32073     31114     29425     26001     22327     55879 
 256  256    872960    213756    162729    126746     37452     36365     34391     30598     26281     67192 
 384  384    932292    237054    180787    137974     41630     40392     38205     33880     29041     73024 
 512  512    959616    232115    176328    136065     38891     37715     35721     31720     27337     69902 
 640  640    978178    239552    181884    140042     40043     38831     36732     32645     28064     70917 
 768  768    990945    238728    181172    138625     41754     40475     38304     34194     29377     76012 
 896  896   1002330    245238    186736    142114     43262     41835     39487     35218     30317     77238 
1024 1024   1003808    246712    188856    145248     43948     42577     40220     35870     30814     78124 
1152 1152   1037322    261934    199730    154351     46498     45052     42580     37933     32575     82244 
1280 1280   1038429    265295    202480    154431     47221     45745     43309     38533     33047     84022 
1408 1408   1020425    256784    196686    149274     46233     44774     42327     37632     32236     81469 
1536 1536   1074375    275850    210307    159915     48447     46976     44439     39507     33770     85937 
1664 1664   1095237    283723    216773    166439     50661     49129     46463     41355     35357     90012 
1792 1792   1076867    276589    209591    159145     48725     47287     44653     39776     34015     86651 
1920 1920   1125690    288052    218895    167116     50699     49183     46511     41370     35411     89744 
2048 2048   1026120    252548    191674    145864     44593     43216     40773     36377     31128     78917 
2176 2176   1159880    283745    215373    164140     48587     47088     44424     39538     33903     86596 
2304 2304   1139103    285603    216996    166594     48978     47465     44937     40040     34313     87468 
2432 2432   1088982    281044    215224    165831     50472     48879     46262     41251     35323     90039 
2560 2560   1207734    311308    237922    181210     57177     55415     52358     46667     40064    102692 
2688 2688   1110525    281597    214355    163403     50404     48872     46222     41219     35357     89673 
2816 2816   1219725    302049    229638    173848     52260     50629     47859     42635     36533     92922 
2944 2944   1067236    260968    197070    150459     45206     43819     41376     36889     31661     80793 
3072 3072   1162788    287760    218564    166157     50332     48770     46035     41057     35151     89479 
3200 3200   1262436    315780    239467    183187     53775     52195     49383     44058     37710     96090 
3328 3328   1366180    342954    261312    199587     58711     56957     53818     47867     40889    104070 
3456 3456   1105515    284263    214239    163973     49633     48195     45577     40432     34553     88239 
3584 3584   1189467    298421    226103    172215     51730     50192     47480     42221     36164     92929 
3712 3712   1276491    321255    244877    188053     58005     56249     53233     47432     40676    104175 
3840 3840   1366587    344743    262060    201524     61092     59268     56118     49950     42791    109207 
3968 3968   1459755    371062    281215    214865     64686     62808     59471     52848     45298    115591 
4096 4096   1037330    258231    197187    149931     44531     43136     40917     36365     31164     79594 
4224 4224   1103538    273829    206977    155876     48117     46589     44123     39179     33535     85655 
4352 4352   1171794    282661    215139    163025     50607     49022     46432     41309     35419     90347 
4480 4480   1242098    300932    228436    175298     52586     50977     48229     42851     36678     93371 
4608 4608   1314450    330662    252212    191700     57340     55592     52681     46751     39981    102516 
4736 4736   1388850    346043    262440    198448     59693     57819     54862     48754     41691    106819 
4864 4864   1465298    362079    276644    211453     64935     62951     59521     52873     45250    115555 
4992 4992   1543794    390241    298052    227350     67940     65924     62401     55390     47432    120539 
5120 5120   1624338    403792    306638    233328     71224     69037     65335     58117     49749    127562 
5248 5248   1706930    425583    324803    248028     74833     72572     68689     60950     52203    132560 
5376 5376   1791570    448407    341322    259957     79386     76983     72911     64788     55521    141799 
5504 5504   1878258    472137    360444    277262     82187     79681     75424     66931     57327    145715 
5632 5632   1966994    492213    375833    288112     87159     84545     80021     71061     60706    154882 
5760 5760   2057778    514574    393147    300495     90279     87516     82803     73527     62888    159916 
5888 5888   1075305    274471    206795    158989     45917     44469     42116     37445     32058     81696 
6016 6016   1122745    289060    217275    166576     49029     47499     44990     40009     34239     87005 
6144 6144   1171209    299775    226682    174843     51515     49899     47259     42060     36030     91048 
6272 6272   1220697    311101    235231    181192     53538     51851     49097     43725     37506     94630 
6400 6400   1271209    324409    245553    190252     55507     53781     50970     45350     38872     98782 
6528 6528   1322745    338188    256355    199076     56932     55165     52242     46418     39669    100113 
6656 6656   1375305    351615    265514    204245     60340     58439     55369     49323     42300    107973 
6784 6784   1428889    363824    275422    212558     61668     59724     56551     50318     43118    109454 
6912 6912   1483497    377788    286052    220169     65624     63565     60156     53555     45877    116563 
7040 7040   1539129    389763    294678    227133     64985     62942     59609     53017     45352    114778 
7168 7168   1595785    408970    309985    239599     69676     67510     63886     56737     48521    121941 
7296 7296   1653465    424057    321989    248715     74148     71841     68049     60591     51944    131787 
7424 7424   1712169    433328    327535    251783     74416     72088     68225     60719     52068    131971 
7552 7552   1771897    448342    339496    260849     76949     74503     70468     62728     53711    136665 
7680 7680   1832649    466802    353836    272341     81037     78510     74300     66109     56632    143545 
7808 7808   1894425    481917    365692    281763     85303     82647     78164     69599     59740    151251 
7936 7936   1957225    496343    376143    289438     87216     84516     79960     71193     61098    154941 
8064 8064   2021049    515741    390803    301962     89692     86933     82262     73185     62704    158789 
8192 8192   2085897    520963    389794    298613     90559     88118     83653     74306     63827    162432 
