[749 6]
[728 21]
[764 32]
[409 74]
[764 139]
[143 143]
[137 145]
[195 147]
[190 148]
[682 190]
[243 196]
[234 198]
[225 200]
[214 202]
[204 204]
[255 206]
[183 209]
[171 211]
[161 214]
[391 217]
[160 238]
[184 260]
[177 262]
[163 266]
[156 268]
[608 337]
[165 348]
[597 397]
[348 406]
[422 439]
[344 487]
[392 509]
[281 512]
[34 513]
[284 513]
[291 519]
[268 524]
[227 525]
[324 529]
[337 538]
[243 547]
