[651 149]
[103 185]
[159 212]
[164 213]
[165 213]
[108 267]
[109 267]
[185 275]
[186 275]
[99 283]
[100 283]
[177 290]
[199 291]
[199 292]
[220 309]
[221 309]
[154 318]
[762 326]
[762 327]
[763 340]
[764 340]
[357 353]
[173 357]
[174 357]
[182 357]
[133 358]
[134 358]
[173 358]
[686 358]
[97 359]
[98 359]
[107 359]
[108 359]
[124 359]
[133 359]
[134 359]
[160 364]
[362 366]
[363 366]
[135 367]
[357 420]
[624 454]
[625 455]
[97 483]
[96 484]
[97 484]
[98 484]
[624 530]
