[600 12]
[617 17]
[618 17]
[635 21]
[634 22]
[635 22]
[635 23]
[226 32]
[516 39]
[269 44]
[764 67]
[764 68]
[307 90]
[240 99]
[52 136]
[53 136]
[24 137]
[24 138]
[28 149]
[28 150]
[468 193]
[469 193]
[204 313]
[205 313]
[67 328]
[67 329]
[239 336]
[241 336]
[304 379]
[187 387]
[188 387]
[187 388]
[582 392]
[582 393]
[230 451]
[231 451]
[180 467]
