 128  128   5996544   1398382    953533    593284    197663    188548    175122    155313    134230    237501 
 256  256   7168000   1656632   1122917    701992    226523    216538    202193    179403    155118    275712 
 384  384   7575876   1729188   1175008    728237    237880    227187    211493    187702    161647    285818 
 512  512   7772160   1779881   1206733    748236    243481    232549    216493    192166    166017    293650 
 640  640   7902176   1813286   1225711    761544    243627    232837    217360    192790    166521    295714 
 768  768   7991856   1825615   1234564    767302    248612    237359    221238    196447    169811    300810 
 896  896   8074080   1838949   1254732    786483    261173    249381    232323    206577    178731    317418 
1024 1024   8078848   1860137   1271664    794990    258289    246638    229385    203599    175928    311941 
1152 1152   8182440   1892106   1293478    818769    267486    255526    237945    211160    182361    324621 
1280 1280   8148504   1900503   1295149    808880    268748    256565    238877    212178    182980    324536 
1408 1408   8198896   1897619   1295413    806376    268499    256334    238643    211762    182660    323020 
1536 1536   8197740   1940342   1317980    819261    271076    259107    241437    214421    185031    328224 
1664 1664   8286684   1962844   1340322    833894    278759    266243    248108    220606    190517    337954 
1792 1792   8251320   1951366   1330806    827271    275223    262851    244733    217449    187517    332353 
1920 1920   8356524   1972007   1342377    833881    275155    262835    244741    217388    187284    331052 
2048 2048   8233344   1922030   1305260    808894    269328    257280    239633    213047    183910    325587 
2176 2176   8432620   1941767   1315991    816934    265747    253812    236264    209848    181166    321378 
2304 2304   8484216   1977012   1345082    839103    272882    260769    243056    215828    186220    331469 
2432 2432   8369700   1968372   1343514    836356    275246    262923    245105    217399    187347    332377 
2560 2560   8474172   1985687   1345631    830052    276208    263864    246021    218695    189102    335424 
2688 2688   8459028   1968806   1328219    820599    270495    258215    240771    214003    184887    325565 
2816 2816   8311980   1923529   1298711    804361    265445    253222    235842    209670    181352    319790 
2944 2944   8555456   1978481   1333299    829254    274695    262146    244155    216922    187784    331310 
3072 3072   8738100   2038416   1380947    853536    280737    267895    249323    221527    191101    337933 
3200 3200   8853768   2070569   1405432    870659    285792    272933    254103    225631    194829    345430 
3328 3328   8896316   2087384   1414456    874026    285509    272756    254018    225525    194657    344624 
3456 3456   8859600   2102632   1425086    884837    290729    277864    258680    229554    198112    351470 
3584 3584   8737476   2049331   1388498    857856    282344    269687    251150    222946    192478    340979 
3712 3712   8523800   1973738   1336409    828515    275787    263230    244985    217622    188180    332996 
3840 3840   9124920   2113448   1429223    886209    288240    275140    256374    227700    196793    348989 
3968 3968   8771868   2060661   1402927    869978    283826    271228    252596    224066    193576    344665 
4096 4096   8310880   1938995   1319096    820126    268171    256047    238548    211819    183098    325802 
4224 4224   8840928   2074408   1406852    863454    287881    274778    255924    227432    196533    348931 
4352 4352   9387360   2175868   1475693    909905    303784    289831    269722    239693    207090    365956 
4480 4480   8706404   2016963   1366966    847663    280753    267937    249364    221623    191468    339152 
4608 4608   9213204   2154371   1460535    901639    295108    281680    262044    232815    201102    357058 
4736 4736   8343720   1962630   1329136    815352    269800    257452    239827    213272    184177    326444 
4864 4864   8802696   2062547   1395617    861162    287702    274518    255439    226946    195905    346243 
4992 4992   9273960   2152837   1454563    900225    295512    282002    262355    233110    201444    356561 
5120 5120   9757512   2256467   1528214    947174    311504    297185    276469    245625    212152    375453 
5248 5248   8544460   1992599   1352557    838939    275061    262496    244382    217008    187472    332372 
5376 5376   8967900   2101173   1424688    880807    292836    279496    260327    231266    199894    353949 
5504 5504   9401580   2201571   1493859    929670    304648    290811    270851    240564    207794    367693 
5632 5632   9845500   2311990   1569344    979984    319303    304913    284108    252165    217782    386058 
5760 5760  10299660   2415857   1635830   1016663    331306    316415    294833    261886    226338    400720 
5888 5888   8611248   1992321   1347429    832151    272125    259686    241754    214806    185615    328709 
6016 6016   8990960   2100804   1426753    889596    291583    278434    259406    230332    198886    353083 
6144 6144   9378864   2181344   1481182    923939    301713    288094    268439    238359    205703    364511 
6272 6272   9774960   2258521   1531630    954194    311220    297133    276797    245825    212322    376515 
6400 6400  10179248   2370608   1608073   1010949    326657    311965    290786    258099    222716    394843 
6528 6528  10591728   2445434   1657477   1031134    337962    322610    300460    266926    230474    408589 
6656 6656  11012400   2539186   1721860   1070749    347883    332090    309266    274669    237236    420404 
6784 6784   8580948   1994093   1354996    848351    276984    264458    246424    218748    189133    335509 
6912 6912   8908740   2059892   1398756    873217    285644    272603    253776    225185    194590    344818 
7040 7040   9242676   2120760   1439548    897252    290379    277149    258013    228921    197790    350399 
7168 7168   9582756   2215201   1503348    941304    304071    290244    270345    239666    206910    366734 
7296 7296   9928980   2304949   1568543    984007    322114    307635    286575    254278    219797    389995 
7424 7424  10281348   2366195   1607717    998366    327114    312132    290405    257748    222953    395496 
7552 7552  10639860   2461478   1674057   1043140    341641    325966    303330    269141    232734    412394 
7680 7680  11004516   2539167   1724941   1077002    350147    334259    311285    276138    238626    423632 
7808 7808  11375316   2640306   1797911   1122797    372109    355287    330806    293501    253924    451099 
7936 7936  11752260   2725793   1854675   1159125    382578    365292    340199    301916    261151    464091 
8064 8064  12135348   2816595   1914410   1199050    393241    375539    349844    310416    268396    477187 
8192 8192   8349720   1920460   1302796    815942    266962    255124    237798    211186    182204    325016 
