  0   1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  0.9999  0.9996  0.9990  0.9990
 10   1.0000  0.8480  0.7827  0.6408  0.5004  0.3978  0.3044  0.2446  0.1785  0.1785
 20   1.0000  0.3550  0.3131  0.2423  0.1631  0.1219  0.0743  0.0552  0.0306  0.0306
 30   1.0000  0.2158  0.1914  0.1507  0.0726  0.0508  0.0237  0.0180  0.0095  0.0095
 40   1.0000  0.1339  0.1151  0.0882  0.0300  0.0197  0.0074  0.0058  0.0032  0.0032
 50   1.0000  0.0749  0.0638  0.0477  0.0108  0.0076  0.0024  0.0019  0.0011  0.0011
 60   1.0000  0.0411  0.0344  0.0255  0.0034  0.0024  0.0008  0.0007  0.0005  0.0005
 70   1.0000  0.0190  0.0154  0.0112  0.0009  0.0006  0.0002  0.0002  0.0001  0.0001
 80   1.0000  0.0068  0.0052  0.0036  0.0002  0.0001  0.0000  0.0000  0.0000  0.0000
 90   1.0000  0.0021  0.0016  0.0011  0.0001  0.0001  0.0000  0.0000  0.0000  0.0000
100   1.0000  0.0008  0.0007  0.0006  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
110   1.0000  0.0006  0.0006  0.0005  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
120   1.0000  0.0005  0.0005  0.0005  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
